X,Y,OBJECTID,STOP_NAME,STOP_CODE,NAPTAN_ATCO,ROAD_NAME,ROUTES,LIVE_BUS_ARRIVAL,OS_EASTING,OS_NORTHING,POSTCODE,DATE_UPDATED
557017.000000266,187982.999999076,5237631,Crouch Valley,29167,490005829E,AVON ROAD,248,https://tfl.gov.uk/bus/stop/490005829E/,557017,187983,RM14 1RF,2024-12-11 00:00:00+00:00
549803.000000292,190020.999999146,5237632,Percy Road,29200,490010936N,MAWNEY ROAD,"252, 651",https://tfl.gov.uk/bus/stop/490010936N/,549803,190021,RM7 8QR,2024-12-11 00:00:00+00:00
549467.000000289,190448.999999162,5237633,Valiant Close,29204,490013995N,WHITE HART LANE,"252, 651",https://tfl.gov.uk/bus/stop/490013995N/,549467,190449,RM7 8LA,2024-12-11 00:00:00+00:00
549640.000000166,183708.999999273,5237634,Oval Road North,29240,490010666S,BALLARDS ROAD,"145, 687",https://tfl.gov.uk/bus/stop/490010666S/,549640,183709,RM10 9AR,2024-12-11 00:00:00+00:00
549617.000000166,183479.999999273,5237635,Oval Road South,29241,490010667N,BALLARDS ROAD,"145, 687",https://tfl.gov.uk/bus/stop/490010667N/,549617,183480,RM10 9AB,2024-12-11 00:00:00+00:00
546722.000000209,185817.999999342,5237636,Longbridge Road,29256,490009295S,BECONTREE AVENUE,368,https://tfl.gov.uk/bus/stop/490009295S/,546722,185818,RM8 2UB,2024-12-11 00:00:00+00:00
546894.000000224,186039.999999354,5237637,Mayesbrook Road,29258,490009733S,BECONTREE AVENUE,368,https://tfl.gov.uk/bus/stop/490009733S/,546894,186040,RM8 2UA,2024-12-11 00:00:00+00:00
547085.000000126,169503.999999243,5237638,Walsingham Road,18991,490014152S,SEVENOAKS WAY,51,https://tfl.gov.uk/bus/stop/490014152S/,547085,169504,BR5 3AG,2024-12-11 00:00:00+00:00
547073.000000137,169076.999999239,5237639,Broomwood Road,18992,490013276N,SEVENOAKS WAY,51,https://tfl.gov.uk/bus/stop/490013276N/,547073,169077,BR5 3AE,2024-12-11 00:00:00+00:00
546950.000000272,167957.999999116,5237640,Nugent Retail Park,18998,490010455SJ,CRAY AVENUE,"51, 273, 661, B14, R1, R11, N199",https://tfl.gov.uk/bus/stop/490010455SJ/,546950,167958,BR5 3FQ,2024-12-11 00:00:00+00:00
543414.000000181,183815.999999311,5237641,Burges Road,1903,490004592E,BARKING ROAD,"5, 238, 325, N15",https://tfl.gov.uk/bus/stop/490004592E/,543414,183816,E6 2LR,2024-12-11 00:00:00+00:00
523586.000000125,170449.999999479,5237642,Edge Hill,19083,490006419E,RIDGWAY,200,https://tfl.gov.uk/bus/stop/490006419E/,523586,170450,SW19 4RD,2024-12-11 00:00:00+00:00
505154.00000011,190424.999999636,5237643,Merle Avenue,22263,490007784N,HAREFIELD HIGH STREET,"331, U9",https://tfl.gov.uk/bus/stop/490007784N/,505154,190425,UB9 6BU,2024-12-11 00:00:00+00:00
